days_to_head,days_to_anth,lin_check
74,82,L106
67,73,3
70,77,1
70,78,L79
74,80,L92
69,78,1
66,75,1
63,70,2
67,75,3
74,84,L12
62,70,4
75,86,L98
71,78,L17
69,76,3
75,85,L37
62,72,4
61,72,2
61,71,4
70,78,L95
72,80,L88
67,75,1
59,72,4
73,82,L49
70,78,L38
69,72,3
64,73,2
68,73,1
74,84,L10
66,76,2
74,85,L4
63,72,2
74,82,L13
67,72,3
72,78,L43
72,78,L58
68,76,L24
72,80,L33
60,70,4
66,73,1
65,70,3
72,78,L89
63,72,2
68,73,2
71,78,L57
65,73,4
65,73,4
74,84,L94
68,73,3
75,86,L46
70,78,L53
68,78,1
61,70,4
75,86,L82
63,73,2
74,84,L62
68,77,1
66,73,3
65,72,3
75,84,L40
65,72,3
64,72,2
75,82,L76
62,72,4
66,73,2
74,80,L28
65,73,L41
61,70,4
69,78,L83
66,73,1
68,75,3
75,85,L5
68,76,1
65,73,1
69,78,L85
73,80,L32
71,78,L108
62,70,4
72,78,L7
63,72,2
75,86,L99
64,70,1
73,80,L101
66,72,3
64,73,2
64,73,4
75,85,L34
74,84,L96
74,85,L67
73,84,L77
67,72,3
62,70,4
65,73,2
73,80,L9
74,82,L66
71,80,3
68,73,1
69,78,1
75,86,L91
64,73,L44
66,73,2
63,72,4
74,85,L29
74,80,L21
64,73,2
62,71,4
67,76,1
74,84,L84
68,78,1
73,78,L87
63,73,L18
64,78,2
73,81,L15
75,85,L72
66,72,3
68,76,3
63,72,4
63,72,2
70,78,L6
67,73,1
75,84,L45
62,72,2
75,86,L8
67,73,1
71,80,L65
62,72,2
64,73,4
67,74,3
75,84,L103
66,78,2
75,85,L69
69,78,3
71,78,3
73,84,L48
62,70,4
64,72,4
75,86,L70
63,73,L19
68,78,1
63,73,4
72,78,L36
73,82,L90
64,72,4
68,78,3
73,80,L52
74,84,L14
67,78,2
68,78,2
69,78,2
65,73,L23
68,78,3
74,80,L105
65,73,4
66,72,3
68,74,L42
68,78,1
75,85,L80
68,78,1
74,81,L63
64,72,4
64,72,3
60,70,4
72,80,L93
64,72,2
70,76,1
75,84,L71
61,72,2
73,80,L16
64,73,4
73,78,L51
68,78,1
74,82,L102
75,85,L74
70,78,3
69,78,1
68,78,3
75,86,L11
73,80,L104
66,72,2
63,72,4
75,85,L30
64,73,2
66,76,1
74,81,L3
70,78,3
75,86,L27
70,78,1
75,85,L39
69,76,3
68,78,1
68,78,1
67,77,L78
66,72,3
73,82,L73
67,76,2
71,81,L31
63,70,4
75,86,L64
63,72,2
68,78,L107
68,78,1
74,80,L61
62,72,4
73,82,L47
74,82,L97
65,73,2
68,78,1
73,78,L35
73,80,L59
65,73,2
68,78,3
69,78,3
64,72,4
70,78,1
73,80,L68
61,72,4
75,86,L81
71,80,L2
70,78,3
68,78,L26
68,78,1
70,78,3
67,78,L86
66,73,2
70,78,L22
63,72,4
75,85,L54
75,85,L60
74,84,L55
66,73,4
67,78,2
73,80,L56
74,85,L1
67,77,1
63,73,4
67,78,1
66,72,3
64,72,2
70,78,L20
